LanguageName,DeepSeek-R1,GPT-2,GPT-4,Mistral,Qwen,bvv241-2-3,bvv241-max,bvv241-nemo
Arabic,2.455742084820506,1.0280604069824537,1.4327483410373139,2.829342169243182,2.366215337604485,1.43560465763047,1.7192107960455254,2.829342169243182
Armenian,1.822440125175761,0.5897627734613123,0.5930248547237199,2.4843479012329324,1.0542429545948295,1.4861821973759464,1.7926140785616638,2.4843479012329324
Azerbaijani,2.169719257446045,1.603890853765614,2.0545321752643115,2.663906915194664,2.0852862621824277,1.5503708188921344,1.9422262359192046,2.663906915194664
Bangla,2.2382011176839445,0.5149473565302956,0.8314589405743339,2.2804916021943544,0.9553287670729175,1.4733572540894673,1.8071535661009852,2.2804916021943544
Chinese,1.505169479222828,0.5569242475737746,0.861172082248875,1.0897085133776208,1.3605019999972714,1.114513989178313,1.2047061902288883,1.0897085133776208
Czech,2.6605550036697427,1.9121042769008496,2.264018880883291,2.744379537107165,2.213955429051506,1.6377286145275807,1.9442803928765322,2.744379537107165
Danish,3.0457850554960233,2.6129580446112572,2.9820155192661817,3.063577885728477,2.8678826569433586,1.7246525089926255,2.1095396646360007,3.063577885728477
Dutch,3.3669375525577023,2.632727450084193,3.111345198311891,3.324540525141244,3.0083313847692894,1.7914993301973503,2.1943585096582288,3.324540525141244
English,4.208172841027912,4.072035985758121,4.151953632978567,3.9637911101574224,3.953788456828776,1.741770514076078,2.274722731092761,3.9637911101574224
Finnish,2.783257237154692,2.316791913012235,2.582915117912234,2.8608642952796672,2.488529474567657,1.7988076452530566,2.209208739939651,2.8608642952796672
French,3.44607782316592,2.7913701767151236,3.2995221088520514,3.6518520574473796,3.2239112939250925,1.7159066122079616,2.097372893638889,3.6518520574473796
Georgian,1.4273544044193944,0.43432328902953327,0.6092117556763472,2.0679479034672643,1.0805946938590631,1.5345617993831646,1.815041055940003,2.0679479034672643
German,3.400103427818777,2.6620783588972476,3.2268521597898467,3.5900378292556323,3.098852605586372,1.7662463543119533,2.189117224641719,3.5900378292556323
Greek,2.1483741723497602,0.9457915405310273,1.1721931231693958,2.4664803814309613,1.196785558964394,1.226635847698891,1.539853001747526,2.4664803814309613
Hebrew,2.0589126607474215,0.8974393166884058,1.063128956812926,2.1481916680525392,2.3266233492811015,1.313739716612701,1.5700383533753712,2.1481916680525392
Hindi,1.7634029029667402,0.6757257633906175,1.0395886530544018,2.4075305014069697,1.11413657167764,1.3043072906471822,1.564406948567172,2.4075305014069697
Hungarian,2.628755336397912,1.9479392072296622,2.3206570290009565,2.879225967843469,2.2656620328209107,1.7050834712246878,2.0916661849632465,2.879225967843469
Indonesian,3.647523092676296,2.6867900181183475,3.256980937720424,3.552794574281821,3.1577263722619078,1.7512875603792892,2.2436962241648306,3.552794574281821
Italian,3.3989307726329243,2.7462825140711002,3.2316599281374327,3.473478970543536,3.1120184813879486,1.7446865188303755,2.138497138219383,3.473478970543536
Japanese,1.4301646689037242,0.7635883365305345,0.9861654589797656,1.324916241571612,1.3443757367192364,1.2147478489468049,1.3719620897726328,1.324916241571612
Korean,1.4264651232896244,0.5570476883367467,1.0344179125274036,1.5886466672604798,1.3651318644126487,1.1426718758993377,1.2379782517060474,1.5886466672604798
Latin,3.1343758113070357,2.8286041237504183,3.0289893726719015,3.006964768103475,2.9146617144019684,1.775475907737018,2.2148803548040448,3.006964768103475
Norwegian,3.0340222391749507,2.5890278872063326,2.9105751673775595,2.960724129050336,2.7752268274127485,1.7190065746156273,2.0809040349085097,2.960724129050336
Persian,2.299123515647735,0.8716066517785989,1.3611160836656178,2.7602166648771296,1.6656389543097012,1.4788460759507978,1.7684797652471271,2.7602166648771296
Polish,2.8264871314507096,2.0610707916501823,2.560929454286941,2.8864567579519522,2.580268476221634,1.676142175804955,2.0216737662774893,2.8864567579519522
Portuguese,3.3626096925396847,2.649993859387214,3.230202280413624,3.5013962976285984,3.152920000013891,1.7107270649571744,2.075276986838195,3.5013962976285984
Russian,2.814521423335079,0.9790617377331466,1.9651562791114374,2.865444827498835,2.4611695102292215,1.5725657989709652,1.8534850314951237,2.865444827498835
Sanskrit,1.6142484788110378,0.6007864716585258,0.9307767091603806,1.823902869347896,1.0258617898305094,1.2417933927492744,1.4696482635642536,1.823902869347896
Spanish,3.5405329216686483,2.784833946082038,3.3995277883322714,3.7121496469159116,3.3164759856275503,1.7295752184004314,2.097571685907767,3.7121496469159116
Swedish,3.155573351814315,2.442385850647946,2.8545628910280665,3.0171048187975034,2.7932342615672807,1.7933419555134977,2.1995073110105237,3.0171048187975034
Turkish,2.5038236667005447,2.083546838387455,2.5245377776434386,3.015881342531645,2.7676631127893576,1.7467314719445637,2.196269572768448,3.015881342531645
Vietnamese,2.4748256542723595,1.3970882439094228,2.2334067868204244,2.9662994569037737,2.8713067277880135,1.5248169892470111,1.882750267727074,2.9662994569037737
